文件,函数,参数,注解
typer\models.py,__init__,hidden,bool
typer\models.py,__init__,case_sensitive,bool
typer\models.py,__init__,min,"Optional[Union[int, float]]"
typer\models.py,__init__,max,"Optional[Union[int, float]]"
typer\models.py,__init__,clamp,bool
typer\models.py,__init__,formats,Optional[list[str]]
typer\models.py,__init__,mode,Optional[str]
typer\models.py,__init__,encoding,Optional[str]
typer\models.py,__init__,errors,Optional[str]
typer\models.py,__init__,lazy,Optional[bool]
typer\models.py,__init__,atomic,bool
typer\models.py,__init__,exists,bool
typer\models.py,__init__,file_okay,bool
typer\models.py,__init__,dir_okay,bool
typer\models.py,__init__,writable,bool
typer\models.py,__init__,readable,bool
typer\models.py,__init__,resolve_path,bool
typer\models.py,__init__,allow_dash,bool
typer\models.py,__init__,path_type,"Union[None, type[str], type[bytes]]"
typer\models.py,__init__,rich_help_panel,"Union[str, None]"
typer\models.py,__init__,default,Optional[Any]
typer\models.py,__init__,param_decls,Optional[Sequence[str]]
typer\models.py,__init__,callback,"Optional[Callable[..., Any]]"
typer\models.py,__init__,metavar,Optional[str]
typer\models.py,__init__,expose_value,bool
typer\models.py,__init__,is_eager,bool
typer\models.py,__init__,envvar,"Optional[Union[str, list[str]]]"
typer\models.py,__init__,shell_complete,"Optional[
        Callable[
            [click.Context, click.Parameter, str],
            Union[list[""click.shell_completion.CompletionItem""], list[str]],
        ]
    ]"
typer\models.py,__init__,autocompletion,"Optional[Callable[..., Any]]"
typer\models.py,__init__,default_factory,"Optional[Callable[[], Any]]"
typer\models.py,__init__,parser,"Optional[Callable[[str], Any]]"
typer\models.py,__init__,click_type,Optional[click.ParamType]
typer\models.py,__init__,show_default,"Union[bool, str]"
typer\models.py,__init__,prompt,"Union[bool, str]"
typer\models.py,__init__,confirmation_prompt,bool
typer\models.py,__init__,prompt_required,bool
typer\models.py,__init__,hide_input,bool
typer\models.py,__init__,is_flag,Optional[bool]
typer\models.py,__init__,flag_value,Optional[Any]
typer\models.py,__init__,count,bool
typer\models.py,__init__,allow_from_autoenv,bool
typer\models.py,__init__,help,Optional[str]
typer\models.py,__init__,hidden,bool
typer\models.py,__init__,show_choices,bool
typer\models.py,__init__,show_envvar,bool
typer\models.py,__init__,case_sensitive,bool
typer\models.py,__init__,min,"Optional[Union[int, float]]"
typer\models.py,__init__,max,"Optional[Union[int, float]]"
typer\models.py,__init__,clamp,bool
typer\models.py,__init__,formats,Optional[list[str]]
typer\models.py,__init__,mode,Optional[str]
typer\models.py,__init__,encoding,Optional[str]
typer\models.py,__init__,errors,Optional[str]
typer\models.py,__init__,lazy,Optional[bool]
typer\models.py,__init__,atomic,bool
typer\models.py,__init__,exists,bool
typer\models.py,__init__,file_okay,bool
typer\models.py,__init__,dir_okay,bool
typer\models.py,__init__,writable,bool
typer\models.py,__init__,readable,bool
typer\models.py,__init__,resolve_path,bool
typer\models.py,__init__,allow_dash,bool
typer\models.py,__init__,path_type,"Union[None, type[str], type[bytes]]"
typer\models.py,__init__,rich_help_panel,"Union[str, None]"
typer\models.py,__init__,default,Optional[Any]
typer\models.py,__init__,param_decls,Optional[Sequence[str]]
typer\models.py,__init__,callback,"Optional[Callable[..., Any]]"
typer\models.py,__init__,metavar,Optional[str]
typer\models.py,__init__,expose_value,bool
typer\models.py,__init__,is_eager,bool
typer\models.py,__init__,envvar,"Optional[Union[str, list[str]]]"
typer\models.py,__init__,shell_complete,"Optional[
        Callable[
            [click.Context, click.Parameter, str],
            Union[list[""click.shell_completion.CompletionItem""], list[str]],
        ]
    ]"
typer\models.py,__init__,autocompletion,"Optional[Callable[..., Any]]"
typer\models.py,__init__,default_factory,"Optional[Callable[[], Any]]"
typer\models.py,__init__,parser,"Optional[Callable[[str], Any]]"
typer\models.py,__init__,click_type,Optional[click.ParamType]
typer\models.py,__init__,show_default,"Union[bool, str]"
typer\models.py,__init__,show_choices,bool
typer\models.py,__init__,show_envvar,bool
typer\models.py,__init__,help,Optional[str]
typer\models.py,__init__,hidden,bool
typer\models.py,__init__,case_sensitive,bool
typer\models.py,__init__,min,"Optional[Union[int, float]]"
typer\models.py,__init__,max,"Optional[Union[int, float]]"
typer\models.py,__init__,clamp,bool
typer\models.py,__init__,formats,Optional[list[str]]
typer\models.py,__init__,mode,Optional[str]
typer\models.py,__init__,encoding,Optional[str]
typer\models.py,__init__,errors,Optional[str]
typer\models.py,__init__,lazy,Optional[bool]
typer\models.py,__init__,atomic,bool
typer\models.py,__init__,exists,bool
typer\models.py,__init__,file_okay,bool
typer\models.py,__init__,dir_okay,bool
typer\models.py,__init__,writable,bool
typer\models.py,__init__,readable,bool
typer\models.py,__init__,resolve_path,bool
typer\models.py,__init__,allow_dash,bool
typer\models.py,__init__,path_type,"Union[None, type[str], type[bytes]]"
typer\models.py,__init__,rich_help_panel,"Union[str, None]"
typer\models.py,__init__,return,None
typer\models.py,__init__,name,str
typer\models.py,__init__,default,Any
typer\models.py,__init__,annotation,Any
typer\models.py,__init__,return,None
typer\models.py,__init__,pretty_exceptions_enable,bool
typer\models.py,__init__,pretty_exceptions_show_locals,bool
typer\models.py,__init__,pretty_exceptions_short,bool
typer\models.py,shell_complete,return,list[click.shell_completion.CompletionItem]
typer\models.py,shell_complete,ctx,click.Context
typer\models.py,shell_complete,param,click.Parameter
typer\models.py,shell_complete,incomplete,str
typer\params.py,Option,return,Any
typer\params.py,Option,default,Optional[Any]
typer\params.py,Option,param_decls,str
typer\params.py,Option,callback,"Optional[Callable[..., Any]]"
typer\params.py,Option,metavar,Optional[str]
typer\params.py,Option,expose_value,bool
typer\params.py,Option,is_eager,bool
typer\params.py,Option,envvar,"Optional[Union[str, list[str]]]"
typer\params.py,Option,shell_complete,"Optional[
        Callable[
            [click.Context, click.Parameter, str],
            Union[list[""click.shell_completion.CompletionItem""], list[str]],
        ]
    ]"
typer\params.py,Option,autocompletion,"Optional[Callable[..., Any]]"
typer\params.py,Option,default_factory,"Optional[Callable[[], Any]]"
typer\params.py,Option,parser,"Optional[Callable[[str], Any]]"
typer\params.py,Option,show_default,"Union[bool, str]"
typer\params.py,Option,prompt,"Union[bool, str]"
typer\params.py,Option,confirmation_prompt,bool
typer\params.py,Option,prompt_required,bool
typer\params.py,Option,hide_input,bool
typer\params.py,Option,is_flag,Optional[bool]
typer\params.py,Option,flag_value,Optional[Any]
typer\params.py,Option,count,bool
typer\params.py,Option,allow_from_autoenv,bool
typer\params.py,Option,help,Optional[str]
typer\params.py,Option,hidden,bool
typer\params.py,Option,show_choices,bool
typer\params.py,Option,show_envvar,bool
typer\params.py,Option,case_sensitive,bool
typer\params.py,Option,min,"Optional[Union[int, float]]"
typer\params.py,Option,max,"Optional[Union[int, float]]"
typer\params.py,Option,clamp,bool
typer\params.py,Option,formats,Optional[list[str]]
typer\params.py,Option,mode,Optional[str]
typer\params.py,Option,encoding,Optional[str]
typer\params.py,Option,errors,Optional[str]
typer\params.py,Option,lazy,Optional[bool]
typer\params.py,Option,atomic,bool
typer\params.py,Option,exists,bool
typer\params.py,Option,file_okay,bool
typer\params.py,Option,dir_okay,bool
typer\params.py,Option,writable,bool
typer\params.py,Option,readable,bool
typer\params.py,Option,resolve_path,bool
typer\params.py,Option,allow_dash,bool
typer\params.py,Option,path_type,"Union[None, type[str], type[bytes]]"
typer\params.py,Option,rich_help_panel,"Union[str, None]"
typer\params.py,Option,return,Any
typer\params.py,Option,default,Optional[Any]
typer\params.py,Option,param_decls,str
typer\params.py,Option,callback,"Optional[Callable[..., Any]]"
typer\params.py,Option,metavar,Optional[str]
typer\params.py,Option,expose_value,bool
typer\params.py,Option,is_eager,bool
typer\params.py,Option,envvar,"Optional[Union[str, list[str]]]"
typer\params.py,Option,shell_complete,"Optional[
        Callable[
            [click.Context, click.Parameter, str],
            Union[list[""click.shell_completion.CompletionItem""], list[str]],
        ]
    ]"
typer\params.py,Option,autocompletion,"Optional[Callable[..., Any]]"
typer\params.py,Option,default_factory,"Optional[Callable[[], Any]]"
typer\params.py,Option,click_type,Optional[click.ParamType]
typer\params.py,Option,show_default,"Union[bool, str]"
typer\params.py,Option,prompt,"Union[bool, str]"
typer\params.py,Option,confirmation_prompt,bool
typer\params.py,Option,prompt_required,bool
typer\params.py,Option,hide_input,bool
typer\params.py,Option,is_flag,Optional[bool]
typer\params.py,Option,flag_value,Optional[Any]
typer\params.py,Option,count,bool
typer\params.py,Option,allow_from_autoenv,bool
typer\params.py,Option,help,Optional[str]
typer\params.py,Option,hidden,bool
typer\params.py,Option,show_choices,bool
typer\params.py,Option,show_envvar,bool
typer\params.py,Option,case_sensitive,bool
typer\params.py,Option,min,"Optional[Union[int, float]]"
typer\params.py,Option,max,"Optional[Union[int, float]]"
typer\params.py,Option,clamp,bool
typer\params.py,Option,formats,Optional[list[str]]
typer\params.py,Option,mode,Optional[str]
typer\params.py,Option,encoding,Optional[str]
typer\params.py,Option,errors,Optional[str]
typer\params.py,Option,lazy,Optional[bool]
typer\params.py,Option,atomic,bool
typer\params.py,Option,exists,bool
typer\params.py,Option,file_okay,bool
typer\params.py,Option,dir_okay,bool
typer\params.py,Option,writable,bool
typer\params.py,Option,readable,bool
typer\params.py,Option,resolve_path,bool
typer\params.py,Option,allow_dash,bool
typer\params.py,Option,path_type,"Union[None, type[str], type[bytes]]"
typer\params.py,Option,rich_help_panel,"Union[str, None]"
typer\params.py,Option,return,Any
typer\params.py,Option,default,Optional[Any]
typer\params.py,Option,param_decls,str
typer\params.py,Option,callback,"Optional[Callable[..., Any]]"
typer\params.py,Option,metavar,Optional[str]
typer\params.py,Option,expose_value,bool
typer\params.py,Option,is_eager,bool
typer\params.py,Option,envvar,"Optional[Union[str, list[str]]]"
typer\params.py,Option,shell_complete,"Optional[
        Callable[
            [click.Context, click.Parameter, str],
            Union[list[""click.shell_completion.CompletionItem""], list[str]],
        ]
    ]"
typer\params.py,Option,autocompletion,"Optional[Callable[..., Any]]"
typer\params.py,Option,default_factory,"Optional[Callable[[], Any]]"
typer\params.py,Option,parser,"Optional[Callable[[str], Any]]"
typer\params.py,Option,click_type,Optional[click.ParamType]
typer\params.py,Option,show_default,"Union[bool, str]"
typer\params.py,Option,prompt,"Union[bool, str]"
typer\params.py,Option,confirmation_prompt,bool
typer\params.py,Option,prompt_required,bool
typer\params.py,Option,hide_input,bool
typer\params.py,Option,is_flag,Optional[bool]
typer\params.py,Option,flag_value,Optional[Any]
typer\params.py,Option,count,bool
typer\params.py,Option,allow_from_autoenv,bool
typer\params.py,Option,help,Optional[str]
typer\params.py,Option,hidden,bool
typer\params.py,Option,show_choices,bool
typer\params.py,Option,show_envvar,bool
typer\params.py,Option,case_sensitive,bool
typer\params.py,Option,min,"Optional[Union[int, float]]"
typer\params.py,Option,max,"Optional[Union[int, float]]"
typer\params.py,Option,clamp,bool
typer\params.py,Option,formats,Optional[list[str]]
typer\params.py,Option,mode,Optional[str]
typer\params.py,Option,encoding,Optional[str]
typer\params.py,Option,errors,Optional[str]
typer\params.py,Option,lazy,Optional[bool]
typer\params.py,Option,atomic,bool
typer\params.py,Option,exists,bool
typer\params.py,Option,file_okay,bool
typer\params.py,Option,dir_okay,bool
typer\params.py,Option,writable,bool
typer\params.py,Option,readable,bool
typer\params.py,Option,resolve_path,bool
typer\params.py,Option,allow_dash,bool
typer\params.py,Option,path_type,"Union[None, type[str], type[bytes]]"
typer\params.py,Option,rich_help_panel,"Union[str, None]"
typer\params.py,Argument,return,Any
typer\params.py,Argument,default,Optional[Any]
typer\params.py,Argument,callback,"Optional[Callable[..., Any]]"
typer\params.py,Argument,metavar,Optional[str]
typer\params.py,Argument,expose_value,bool
typer\params.py,Argument,is_eager,bool
typer\params.py,Argument,envvar,"Optional[Union[str, list[str]]]"
typer\params.py,Argument,shell_complete,"Optional[
        Callable[
            [click.Context, click.Parameter, str],
            Union[list[""click.shell_completion.CompletionItem""], list[str]],
        ]
    ]"
typer\params.py,Argument,autocompletion,"Optional[Callable[..., Any]]"
typer\params.py,Argument,default_factory,"Optional[Callable[[], Any]]"
typer\params.py,Argument,parser,"Optional[Callable[[str], Any]]"
typer\params.py,Argument,show_default,"Union[bool, str]"
typer\params.py,Argument,show_choices,bool
typer\params.py,Argument,show_envvar,bool
typer\params.py,Argument,help,Optional[str]
typer\params.py,Argument,hidden,bool
typer\params.py,Argument,case_sensitive,bool
typer\params.py,Argument,min,"Optional[Union[int, float]]"
typer\params.py,Argument,max,"Optional[Union[int, float]]"
typer\params.py,Argument,clamp,bool
typer\params.py,Argument,formats,Optional[list[str]]
typer\params.py,Argument,mode,Optional[str]
typer\params.py,Argument,encoding,Optional[str]
typer\params.py,Argument,errors,Optional[str]
typer\params.py,Argument,lazy,Optional[bool]
typer\params.py,Argument,atomic,bool
typer\params.py,Argument,exists,bool
typer\params.py,Argument,file_okay,bool
typer\params.py,Argument,dir_okay,bool
typer\params.py,Argument,writable,bool
typer\params.py,Argument,readable,bool
typer\params.py,Argument,resolve_path,bool
typer\params.py,Argument,allow_dash,bool
typer\params.py,Argument,path_type,"Union[None, type[str], type[bytes]]"
typer\params.py,Argument,rich_help_panel,"Union[str, None]"
typer\params.py,Argument,return,Any
typer\params.py,Argument,default,Optional[Any]
typer\params.py,Argument,callback,"Optional[Callable[..., Any]]"
typer\params.py,Argument,metavar,Optional[str]
typer\params.py,Argument,expose_value,bool
typer\params.py,Argument,is_eager,bool
typer\params.py,Argument,envvar,"Optional[Union[str, list[str]]]"
typer\params.py,Argument,shell_complete,"Optional[
        Callable[
            [click.Context, click.Parameter, str],
            Union[list[""click.shell_completion.CompletionItem""], list[str]],
        ]
    ]"
typer\params.py,Argument,autocompletion,"Optional[Callable[..., Any]]"
typer\params.py,Argument,default_factory,"Optional[Callable[[], Any]]"
typer\params.py,Argument,click_type,Optional[click.ParamType]
typer\params.py,Argument,show_default,"Union[bool, str]"
typer\params.py,Argument,show_choices,bool
typer\params.py,Argument,show_envvar,bool
typer\params.py,Argument,help,Optional[str]
typer\params.py,Argument,hidden,bool
typer\params.py,Argument,case_sensitive,bool
typer\params.py,Argument,min,"Optional[Union[int, float]]"
typer\params.py,Argument,max,"Optional[Union[int, float]]"
typer\params.py,Argument,clamp,bool
typer\params.py,Argument,formats,Optional[list[str]]
typer\params.py,Argument,mode,Optional[str]
typer\params.py,Argument,encoding,Optional[str]
typer\params.py,Argument,errors,Optional[str]
typer\params.py,Argument,lazy,Optional[bool]
typer\params.py,Argument,atomic,bool
typer\params.py,Argument,exists,bool
typer\params.py,Argument,file_okay,bool
typer\params.py,Argument,dir_okay,bool
typer\params.py,Argument,writable,bool
typer\params.py,Argument,readable,bool
typer\params.py,Argument,resolve_path,bool
typer\params.py,Argument,allow_dash,bool
typer\params.py,Argument,path_type,"Union[None, type[str], type[bytes]]"
typer\params.py,Argument,rich_help_panel,"Union[str, None]"
typer\params.py,Argument,return,Any
typer\params.py,Argument,default,Optional[Any]
typer\params.py,Argument,callback,"Optional[Callable[..., Any]]"
typer\params.py,Argument,metavar,Optional[str]
typer\params.py,Argument,expose_value,bool
typer\params.py,Argument,is_eager,bool
typer\params.py,Argument,envvar,"Optional[Union[str, list[str]]]"
typer\params.py,Argument,shell_complete,"Optional[
        Callable[
            [click.Context, click.Parameter, str],
            Union[list[""click.shell_completion.CompletionItem""], list[str]],
        ]
    ]"
typer\params.py,Argument,autocompletion,"Optional[Callable[..., Any]]"
typer\params.py,Argument,default_factory,"Optional[Callable[[], Any]]"
typer\params.py,Argument,parser,"Optional[Callable[[str], Any]]"
typer\params.py,Argument,click_type,Optional[click.ParamType]
typer\params.py,Argument,show_default,"Union[bool, str]"
typer\params.py,Argument,show_choices,bool
typer\params.py,Argument,show_envvar,bool
typer\params.py,Argument,help,Optional[str]
typer\params.py,Argument,hidden,bool
typer\params.py,Argument,case_sensitive,bool
typer\params.py,Argument,min,"Optional[Union[int, float]]"
typer\params.py,Argument,max,"Optional[Union[int, float]]"
typer\params.py,Argument,clamp,bool
typer\params.py,Argument,formats,Optional[list[str]]
typer\params.py,Argument,mode,Optional[str]
typer\params.py,Argument,encoding,Optional[str]
typer\params.py,Argument,errors,Optional[str]
typer\params.py,Argument,lazy,Optional[bool]
typer\params.py,Argument,atomic,bool
typer\params.py,Argument,exists,bool
typer\params.py,Argument,file_okay,bool
typer\params.py,Argument,dir_okay,bool
typer\params.py,Argument,writable,bool
typer\params.py,Argument,readable,bool
typer\params.py,Argument,resolve_path,bool
typer\params.py,Argument,allow_dash,bool
typer\params.py,Argument,path_type,"Union[None, type[str], type[bytes]]"
typer\params.py,Argument,rich_help_panel,"Union[str, None]"
typer\rich_utils.py,_get_rich_console,return,Console
typer\rich_utils.py,_get_rich_console,stderr,bool
typer\rich_utils.py,_make_rich_text,return,"Union[Markdown, Text]"
typer\rich_utils.py,_make_rich_text,text,str
typer\rich_utils.py,_make_rich_text,style,str
typer\rich_utils.py,_make_rich_text,markup_mode,MarkupModeStrict
typer\rich_utils.py,_get_help_text,return,"Iterable[Union[Markdown, Text]]"
typer\rich_utils.py,_get_help_text,obj,"Union[click.Command, click.Group]"
typer\rich_utils.py,_get_help_text,markup_mode,MarkupModeStrict
typer\rich_utils.py,_get_parameter_help,return,Columns
typer\rich_utils.py,_get_parameter_help,param,"Union[click.Option, click.Argument, click.Parameter]"
typer\rich_utils.py,_get_parameter_help,ctx,click.Context
typer\rich_utils.py,_get_parameter_help,markup_mode,MarkupModeStrict
typer\rich_utils.py,_make_command_help,return,"Union[Text, Markdown]"
typer\rich_utils.py,_make_command_help,help_text,str
typer\rich_utils.py,_make_command_help,markup_mode,MarkupModeStrict
typer\rich_utils.py,_print_options_panel,return,None
typer\rich_utils.py,_print_options_panel,name,str
typer\rich_utils.py,_print_options_panel,params,"Union[list[click.Option], list[click.Argument]]"
typer\rich_utils.py,_print_options_panel,ctx,click.Context
typer\rich_utils.py,_print_options_panel,markup_mode,MarkupModeStrict
typer\rich_utils.py,_print_options_panel,console,Console
typer\rich_utils.py,_print_commands_panel,return,None
typer\rich_utils.py,_print_commands_panel,name,str
typer\rich_utils.py,_print_commands_panel,commands,list[click.Command]
typer\rich_utils.py,_print_commands_panel,markup_mode,MarkupModeStrict
typer\rich_utils.py,_print_commands_panel,console,Console
typer\rich_utils.py,_print_commands_panel,cmd_len,int
typer\rich_utils.py,rich_format_help,return,None
typer\rich_utils.py,rich_format_help,obj,"Union[click.Command, click.Group]"
typer\rich_utils.py,rich_format_help,ctx,click.Context
typer\rich_utils.py,rich_format_help,markup_mode,MarkupModeStrict
typer\rich_utils.py,rich_format_error,return,None
typer\rich_utils.py,rich_format_error,self,click.ClickException
typer\rich_utils.py,rich_abort_error,return,None
typer\rich_utils.py,escape_before_html_export,return,str
typer\rich_utils.py,escape_before_html_export,input_text,str
typer\rich_utils.py,rich_to_html,return,str
typer\rich_utils.py,rich_to_html,input_text,str
typer\rich_utils.py,rich_render_text,return,str
typer\rich_utils.py,rich_render_text,text,str
typer\rich_utils.py,get_traceback,return,Traceback
typer\rich_utils.py,get_traceback,exc,BaseException
typer\rich_utils.py,get_traceback,exception_config,DeveloperExceptionConfig
typer\rich_utils.py,get_traceback,internal_dir_names,list[str]
typer\testing.py,invoke,return,Result
typer\testing.py,invoke,app,Typer
typer\testing.py,invoke,args,"Optional[Union[str, Sequence[str]]]"
typer\testing.py,invoke,input,"Optional[Union[bytes, str, IO[Any]]]"
typer\testing.py,invoke,env,"Optional[Mapping[str, Optional[str]]]"
typer\testing.py,invoke,catch_exceptions,bool
typer\testing.py,invoke,color,bool
typer\testing.py,invoke,extra,Any
typer\utils.py,_param_type_to_user_string,return,str
typer\utils.py,_param_type_to_user_string,param_type,type[ParameterInfo]
typer\utils.py,__init__,argument_name,str
typer\utils.py,__init__,param_type,type[ParameterInfo]
typer\utils.py,__str__,return,str
typer\utils.py,__init__,argument_name,str
typer\utils.py,__init__,annotated_param_type,type[ParameterInfo]
typer\utils.py,__init__,default_param_type,type[ParameterInfo]
typer\utils.py,__str__,return,str
typer\utils.py,__init__,argument_name,str
typer\utils.py,__str__,return,str
typer\utils.py,__init__,argument_name,str
typer\utils.py,__init__,param_type,type[ParameterInfo]
typer\utils.py,__str__,return,str
typer\utils.py,_split_annotation_from_typer_annotations,return,"tuple[type[Any], list[ParameterInfo]]"
typer\utils.py,_split_annotation_from_typer_annotations,base_annotation,type[Any]
typer\utils.py,get_params_from_function,return,"dict[str, ParamMeta]"
typer\utils.py,get_params_from_function,func,"Callable[..., Any]"
typer\_completion_classes.py,_sanitize_help_text,return,str
typer\_completion_classes.py,_sanitize_help_text,text,str
typer\_completion_classes.py,source_vars,return,"dict[str, Any]"
typer\_completion_classes.py,get_completion_args,return,"tuple[list[str], str]"
typer\_completion_classes.py,format_completion,return,str
typer\_completion_classes.py,format_completion,item,click.shell_completion.CompletionItem
typer\_completion_classes.py,complete,return,str
typer\_completion_classes.py,source_vars,return,"dict[str, Any]"
typer\_completion_classes.py,get_completion_args,return,"tuple[list[str], str]"
typer\_completion_classes.py,format_completion,return,str
typer\_completion_classes.py,format_completion,item,click.shell_completion.CompletionItem
typer\_completion_classes.py,escape,return,str
typer\_completion_classes.py,escape,s,str
typer\_completion_classes.py,complete,return,str
typer\_completion_classes.py,source_vars,return,"dict[str, Any]"
typer\_completion_classes.py,get_completion_args,return,"tuple[list[str], str]"
typer\_completion_classes.py,format_completion,return,str
typer\_completion_classes.py,format_completion,item,click.shell_completion.CompletionItem
typer\_completion_classes.py,complete,return,str
typer\_completion_classes.py,source_vars,return,"dict[str, Any]"
typer\_completion_classes.py,get_completion_args,return,"tuple[list[str], str]"
typer\_completion_classes.py,format_completion,return,str
typer\_completion_classes.py,format_completion,item,click.shell_completion.CompletionItem
typer\_completion_classes.py,completion_init,return,None
typer\_completion_shared.py,get_completion_script,return,str
typer\_completion_shared.py,get_completion_script,prog_name,str
typer\_completion_shared.py,get_completion_script,complete_var,str
typer\_completion_shared.py,get_completion_script,shell,str
typer\_completion_shared.py,install_bash,return,Path
typer\_completion_shared.py,install_bash,prog_name,str
typer\_completion_shared.py,install_bash,complete_var,str
typer\_completion_shared.py,install_bash,shell,str
typer\_completion_shared.py,install_zsh,return,Path
typer\_completion_shared.py,install_zsh,prog_name,str
typer\_completion_shared.py,install_zsh,complete_var,str
typer\_completion_shared.py,install_zsh,shell,str
typer\_completion_shared.py,install_fish,return,Path
typer\_completion_shared.py,install_fish,prog_name,str
typer\_completion_shared.py,install_fish,complete_var,str
typer\_completion_shared.py,install_fish,shell,str
typer\_completion_shared.py,install_powershell,return,Path
typer\_completion_shared.py,install_powershell,prog_name,str
typer\_completion_shared.py,install_powershell,complete_var,str
typer\_completion_shared.py,install_powershell,shell,str
typer\_completion_shared.py,install,return,"tuple[str, Path]"
typer\_completion_shared.py,install,shell,Optional[str]
typer\_completion_shared.py,install,prog_name,Optional[str]
typer\_completion_shared.py,install,complete_var,Optional[str]
typer\_completion_shared.py,_get_shell_name,return,"Union[str, None]"
typer\_types.py,normalize_choice,return,str
typer\_types.py,normalize_choice,choice,ParamTypeValue
typer\_types.py,normalize_choice,ctx,"Union[click.Context, None]"
typer\_typing.py,is_union,return,bool
typer\_typing.py,is_union,tp,Optional[type[Any]]
typer\_typing.py,is_union,return,bool
typer\_typing.py,is_union,tp,Optional[type[Any]]
typer\_typing.py,is_none_type,return,bool
typer\_typing.py,is_none_type,type_,Any
typer\_typing.py,is_callable_type,return,bool
typer\_typing.py,is_callable_type,type_,type[Any]
typer\_typing.py,is_literal_type,return,bool
typer\_typing.py,is_literal_type,type_,type[Any]
typer\_typing.py,literal_values,return,"tuple[Any, ...]"
typer\_typing.py,literal_values,type_,type[Any]
typer\_typing.py,all_literal_values,return,"tuple[Any, ...]"
typer\_typing.py,all_literal_values,type_,type[Any]
tests\assets\completion_argument.py,shell_complete,ctx,click.Context
tests\assets\completion_argument.py,shell_complete,param,click.Parameter
tests\assets\completion_argument.py,shell_complete,incomplete,str
tests\assets\completion_argument.py,main,name,str
tests\assets\completion_no_types.py,main,name,str
tests\assets\completion_no_types_order.py,main,name,str
tests\assets\corner_cases.py,main,name,str
tests\assets\corner_cases.py,main,lastname,str
tests\assets\corner_cases.py,main,age,int
tests\assets\prog_name.py,main,i,int
tests\assets\type_error_normal_traceback.py,main,name,str
tests\assets\type_error_normal_traceback.py,broken,name,str
tests\assets\type_error_no_rich.py,main,name,str
tests\assets\type_error_no_rich_short_disable.py,main,name,str
tests\test_cli\test_doc.py,test_doc_output,tmp_path,Path
tests\test_cli\test_doc.py,test_doc_title_output,tmp_path,Path
tests\test_cli\test_doc.py,test_doc_html_output,tmp_path,Path
tests\test_completion\colon_example.py,_complete,return,str
tests\test_completion\colon_example.py,_complete,incomplete,str
tests\test_completion\colon_example.py,image,name,str
tests\test_completion\example_rich_tags.py,create,username,str
tests\test_completion\example_rich_tags.py,delete,username,str
tests\test_completion\path_example.py,f,p,Path
tests\test_completion\test_completion_complete.py,get_mod,return,ModuleType
tests\test_completion\test_completion_complete.py,get_mod,request,pytest.FixtureRequest
tests\test_completion\test_completion_complete.py,test_completion_complete_subcommand_bash,mod,ModuleType
tests\test_completion\test_completion_complete.py,test_completion_complete_subcommand_bash_invalid,mod,ModuleType
tests\test_completion\test_completion_complete.py,test_completion_complete_subcommand_zsh,mod,ModuleType
tests\test_completion\test_completion_complete.py,test_completion_complete_subcommand_zsh_files,mod,ModuleType
tests\test_completion\test_completion_complete.py,test_completion_complete_subcommand_fish,mod,ModuleType
tests\test_completion\test_completion_complete.py,test_completion_complete_subcommand_fish_should_complete,mod,ModuleType
tests\test_completion\test_completion_complete.py,test_completion_complete_subcommand_fish_should_complete_no,mod,ModuleType
tests\test_completion\test_completion_complete.py,test_completion_complete_subcommand_powershell,mod,ModuleType
tests\test_completion\test_completion_complete.py,test_completion_complete_subcommand_pwsh,mod,ModuleType
tests\test_completion\test_completion_complete.py,test_completion_complete_subcommand_noshell,mod,ModuleType
tests\test_completion\test_sanitization.py,test_sanitize_help_text,find_spec,"Union[ModuleSpec, None]"
tests\test_completion\test_sanitization.py,test_sanitize_help_text,help_text,str
tests\test_completion\test_sanitization.py,test_sanitize_help_text,expected,str
tests\test_tutorial\test_app_dir\test_tutorial001.py,test_cli_config_exists,config_file,Path
tests\test_tutorial\test_exceptions\test_tutorial001.py,test_standard_traceback_env_var,env_var,str
tests\test_tutorial\test_exceptions\test_tutorial002.py,test_standard_traceback_env_var,env_var,str
tests\test_tutorial\test_launch\test_tutorial002.py,test_cli,app_dir,Path
tests\test_tutorial\test_options_autocompletion\test_tutorial001.py,get_mod,return,ModuleType
tests\test_tutorial\test_options_autocompletion\test_tutorial001.py,get_mod,request,pytest.FixtureRequest
tests\test_tutorial\test_options_autocompletion\test_tutorial001.py,test_1,mod,ModuleType
tests\test_tutorial\test_options_autocompletion\test_tutorial001.py,test_script,mod,ModuleType
tests\test_tutorial\test_options_autocompletion\test_tutorial002.py,get_mod,return,ModuleType
tests\test_tutorial\test_options_autocompletion\test_tutorial002.py,get_mod,request,pytest.FixtureRequest
tests\test_tutorial\test_options_autocompletion\test_tutorial002.py,test_completion,mod,ModuleType
tests\test_tutorial\test_options_autocompletion\test_tutorial002.py,test_1,mod,ModuleType
tests\test_tutorial\test_options_autocompletion\test_tutorial002.py,test_script,mod,ModuleType
tests\test_tutorial\test_options_autocompletion\test_tutorial003.py,get_mod,return,ModuleType
tests\test_tutorial\test_options_autocompletion\test_tutorial003.py,get_mod,request,pytest.FixtureRequest
tests\test_tutorial\test_options_autocompletion\test_tutorial003.py,test_completion_zsh,mod,ModuleType
tests\test_tutorial\test_options_autocompletion\test_tutorial003.py,test_completion_powershell,mod,ModuleType
tests\test_tutorial\test_options_autocompletion\test_tutorial003.py,test_1,mod,ModuleType
